date,temperature,relative_humidity,pressure,wind_speed,wind_direction,visibility
2018-04-25,26,78.64,29.96,8,260,10.0
2022-06-07,27,83.68,29.96,4,330,10.0
2020-08-28,28,88.92,30.06,0,0,10.0
2017-11-10,28,65.77,30.01,11,70,10.0
2014-09-15,27,78.78,30.12,0,0,10.0
2021-05-02,28,65.77,30.02,9,160,10.0
2021-03-08,21,46.19,30.37,12,50,10.0
2023-02-21,21,94.02,30.08,0,0,7.0
2023-04-05,25,69.36,30.08,8,100,10.0
2021-12-14,27,61.61,30.27,11,70,10.0
2023-04-29,32,62.71,29.83,14,180,10.0
2014-04-15,30,62.28,29.91,14,140,10.0
2015-08-22,28,83.79,30.0,3,330,10.0
2015-08-06,32,55.56,30.02,6,140,10.0
2015-10-08,27,78.78,30.0,3,60,10.0
2014-04-06,27,57.87,29.95,7,140,10.0
2023-08-03,27,83.68,29.98,4,170,10.0
2021-12-24,18,67.97,30.15,4,320,10.0
2021-07-18,28,78.92,30.14,7,100,10.0
2018-02-07,27,69.74,30.24,16,100,10.0
2019-10-11,26,83.57,29.92,5,360,10.0
2017-04-02,24,94.15,30.03,0,0,10.0
2022-06-12,30,70.29,30.02,10,130,10.0
2020-06-23,33,59.27,30.0,13,120,10.0
2015-09-13,28,83.79,29.92,4,190,10.0
2014-07-24,31,62.5,30.02,0,0,10.0
2016-02-22,27,50.99,30.01,9,140,10.0
2020-05-08,21,64.29,30.04,4,10,10.0
2016-03-10,23,68.97,30.19,13,120,10.0
2019-02-03,22,94.06,30.04,5,130,10.0
2015-08-25,28,83.79,29.9,0,0,10.0
2022-05-03,26,73.97,30.08,10,90,10.0
2018-09-22,31,66.38,30.01,7,90,10.0
2017-08-05,30,62.28,30.06,7,120,10.0
2023-03-24,22,83.11,30.09,6,100,10.0
2017-08-05,30,66.18,30.11,8,110,10.0
2016-08-07,27,94.27,29.99,0,0,10.0
2019-03-02,20,100.0,30.13,0,0,10.0
2021-08-22,33,66.78,30.05,8,160,10.0
2016-12-04,27,61.61,30.02,13,110,10.0
2022-10-11,28,78.92,30.08,6,70,10.0
2017-08-30,34,49.66,30.01,7,110,10.0
2019-02-25,24,73.63,30.23,9,50,10.0
2018-09-11,27,78.78,29.98,0,0,10.0
2021-08-22,31,66.38,29.98,8,140,7.0
2017-11-26,23,68.97,30.04,0,0,10.0
2014-09-02,30,62.28,30.07,9,120,10.0
2014-09-27,30,66.18,29.97,10,100,10.0
2023-12-22,19,63.85,30.18,0,0,10.0
2018-08-25,28,83.79,30.01,5,100,10.0
2023-06-17,31,58.81,29.92,6,150,10.0
2022-12-19,18,77.46,30.16,4,360,10.0
2014-06-19,27,74.14,30.12,0,0,10.0
2014-10-18,26,61.39,29.93,4,130,10.0
2015-01-23,22,73.29,30.1,7,130,10.0
2018-09-29,30,70.29,30.01,11,50,10.0
2017-04-05,27,74.14,29.99,7,160,10.0
2015-11-10,27,74.14,30.01,3,120,10.0
2020-01-21,13,76.68,30.1,8,330,10.0
2017-03-07,21,68.58,30.28,7,120,10.0
2019-11-22,24,64.93,30.13,0,0,10.0
2022-10-17,27,74.14,29.97,6,90,10.0
2017-06-13,27,83.68,30.01,5,100,10.0
2022-10-24,28,61.84,29.99,9,60,10.0
2017-07-26,28,78.92,30.07,5,90,10.0
2014-03-19,25,65.15,30.08,8,110,10.0
2022-07-03,29,74.47,30.06,10,100,10.0
2021-03-02,26,65.36,29.99,8,150,10.0
2015-11-08,27,83.68,30.06,9,100,10.0
